total_return,sharpe_ratio,final_value,symbol,strategy
0.5625542130572401,0.5746507059656631,156255.421305724,sh.601801,RSI策略
-0.03297736298037678,-0.07753932311174284,96702.26370196232,sh.600276,RSI策略
0.0,,100000.0,sh.688775,RSI策略
0.8313851814117824,0.6554628165400272,183138.51814117824,sh.688376,RSI策略
0.0029656669147656066,0.11347640330306172,100296.56669147656,sh.688170,RSI策略
-0.4808385580243628,-0.6217658467501285,51916.14419756372,sh.603208,RSI策略
0.9251915245339717,0.7338336007443735,192519.15245339717,sh.601328,RSI策略
-0.15347930918121333,-0.11759532864855016,84652.06908187867,sz.300771,RSI策略
0.04734128013901165,-0.019993736377507322,104734.12801390117,sh.600959,RSI策略
1.0675329335743198,1.1554654823200443,206753.29335743198,sz.301171,RSI策略
-0.04824053237580025,-0.1789508042394927,95175.94676241998,sz.002721,RSI策略
0.0730029110862594,0.06938388483068948,107300.29110862594,sh.600352,RSI策略
0.47473222463301734,0.308229738618997,147473.22246330173,sh.600330,RSI策略
0.8369965447022769,0.4460650172096367,183699.6544702277,sh.601038,RSI策略
1.9195221039344044,0.5996921607013007,291952.21039344044,sh.688125,RSI策略
0.3632365408061218,0.8797906145264912,136323.65408061218,sh.688259,RSI策略
-0.1601179435231346,0.08588686801139722,83988.20564768654,sz.300427,RSI策略
0.819082099043199,7.1307510940334025,181908.2099043199,sz.301286,RSI策略
0.18395136234179982,0.18538253203375674,118395.13623417998,sh.600293,RSI策略
0.1671978983731236,0.8670187123446871,116719.78983731236,sz.300904,RSI策略
-0.3560760290121549,-0.2669724353038006,64392.39709878451,sh.605199,RSI策略
-0.06709277661788655,-0.06687492382000462,93290.72233821134,sz.300768,RSI策略
0.4498062077343301,0.3404206826666133,144980.620773433,sz.002696,RSI策略
0.9259480493206002,0.9451690058794915,192594.80493206,sh.688141,RSI策略
1.219274651584394,0.35165070802509757,221927.4651584394,sz.002969,RSI策略
1.8138903362455876,0.946423567538345,281389.03362455877,sz.301160,RSI策略
-0.3231123304158855,-1.1717925984923432,67688.76695841145,sz.000012,RSI策略
-0.016745567737917737,-0.09384669694280305,98325.44322620823,sh.600075,RSI策略
0.1721491501641873,0.2774791218600793,117214.91501641873,sh.603511,RSI策略
-0.09548180106104599,0.05938877245471025,90451.8198938954,sz.002727,RSI策略
0.26023463819689613,0.2588810706550087,126023.46381968961,sz.002001,RSI策略
0.28473786604280044,0.26201500698741165,128473.78660428005,sz.000010,RSI策略
0.6978735159591816,0.5256386267738721,169787.35159591815,sh.603386,RSI策略
-0.21491267448116413,-0.15987457445783254,78508.73255188359,sh.688095,RSI策略
-0.0166491964663245,0.024401479071902914,98335.08035336755,sz.001336,RSI策略
0.8032623591987128,0.5192665712898105,180326.23591987128,sh.601319,RSI策略
-0.16272929569228348,-0.3547143078650552,83727.07043077165,sh.601015,RSI策略
2.0809538824018556,0.7767490236925321,308095.38824018557,sz.002347,RSI策略
0.44825104891924333,0.47851466595151554,144825.10489192433,sh.601118,RSI策略
0.6433739955428845,0.3862556977671075,164337.39955428845,sz.002165,RSI策略
0.04256886546888942,-0.07928294012499627,104256.88654688894,sz.002034,RSI策略
0.02285557841424001,-0.43308186028982726,102285.557841424,sz.301301,RSI策略
0.7699802048788441,0.35430942516816094,176998.0204878844,sh.688618,RSI策略
0.05103626631881285,0.06511403151884161,105103.62663188128,sh.600496,RSI策略
-0.30007464089292946,-0.2527013143704812,69992.53591070705,sz.300014,RSI策略
1.3164267492705601,0.5226436025336421,231642.674927056,sz.300688,RSI策略
-0.4098830526391702,-1.0293806152258023,59011.69473608298,sh.603060,RSI策略
0.13676704905367223,0.1616877153748767,113676.70490536722,sz.002333,RSI策略
0.6276983062908565,1.0017617101455725,162769.83062908566,sh.600850,RSI策略
0.33619458844648875,0.6502302633857743,133619.45884464888,sz.300828,RSI策略
0.24208868952410542,0.2313869855937857,124208.86895241054,sz.000555,RSI策略
-0.24354816062174547,-0.13212417630621764,75645.18393782545,sz.301528,RSI策略
0.07574701135943541,0.08916480314072704,107574.70113594354,sz.002187,RSI策略
-0.19417418740909342,-0.04439827670999711,80582.58125909066,sz.301045,RSI策略
-0.16625924797529296,-0.4570374422276571,83374.0752024707,sh.605009,RSI策略
0.17846796767824213,0.3993119997909875,117846.79676782421,sh.600755,RSI策略
-0.25086601204188513,-0.2256844415301287,74913.39879581149,sh.600518,RSI策略
-0.4108110789126,-0.8904303998107996,58918.89210874,sh.688211,RSI策略
-0.26966709549580004,-0.6156072345739695,73033.29045042,sz.000518,RSI策略
2.3367968411688,0.4207042287934487,333679.68411688,sh.600860,RSI策略
0.6068120492449621,0.4728951695172229,160681.2049244962,sh.688261,RSI策略
0.6124189621709331,0.4027019982549053,161241.8962170933,sh.601229,RSI策略
1.9695307632320007,0.6406282762049375,296953.0763232001,sz.002348,RSI策略
0.3739231458679284,0.28802848814102383,137392.31458679284,sz.000011,RSI策略
0.9950138374263954,0.6198018418883859,199501.38374263953,sz.003006,RSI策略
0.8495097795560499,0.42146649297346467,184950.977955605,sz.002213,RSI策略
0.16057575498702703,0.17486564737568028,116057.5754987027,sh.603577,RSI策略
3.1506456169561994,0.727040072485842,415064.56169561995,sz.002261,RSI策略
0.2712964278922802,0.27270908505838976,127129.64278922802,sz.002133,RSI策略
-0.06345276914577552,0.0890688847887875,93654.72308542245,sh.688039,RSI策略
