total_return,sharpe_ratio,annual_return,total_trades,symbol
0.43333769098592484,0.3239293125139055,6.433640976729747,1,sh.600000
-0.22113017202733667,-0.20865362295429402,-4.236024945112135,1,sh.600004
0.8400372715643266,0.3509298509114962,11.139100760267015,1,sh.600006
0.6257600785455276,0.5219695487564298,8.781265706511274,1,sh.600007
0.2636519158825306,0.28602863392632755,4.1361355191201525,1,sh.600008
-0.27896282862593447,-0.25381785800143414,-5.507170991303445,1,sh.600009
0.9344432264534593,0.3845151998385455,12.106376486759922,1,sh.600010
0.6465421115342734,0.3169406124818614,9.020839832281553,1,sh.600011
0.018134576400000078,-1.0324358398183895,0.31175441547657307,1,sh.600012
0.308421773624582,0.2662877275202445,4.7659682386402435,1,sh.600015
0.07175844376298134,0.06669756329153813,1.2074916533708366,1,sh.600016
0.2575338842557355,0.4282121205998603,4.048638309595427,1,sh.600017
0.3395147496281337,0.35872882341446216,5.19298609232105,1,sh.600018
1.0698473444452523,0.8516114893873487,13.427722905552072,1,sh.600019
0.4358322348478809,0.5597059892201184,6.465699745922477,1,sh.600020
1.9698370389996236,0.5458462213672575,20.74671943832015,1,sh.600021
0.2579263700758765,0.29456886518064884,4.054262010247749,1,sh.600022
0.6521236663042763,0.5745131409540348,9.084757605528788,1,sh.600023
1.5252617773925432,0.9844357895923055,17.402625812259444,1,sh.600025
1.1347947384268244,0.4742606314650217,14.036301216181842,1,sh.600026
0.8849856348281525,0.5147626166898944,11.604631562236529,1,sh.600027
0.8271419567711363,0.7406942117686618,11.003808936181672,1,sh.600028
0.32393932964999983,0.34748393005269895,4.980116299782111,1,sh.600029
0.35967259412204555,0.3160488995919451,5.465466531644608,1,sh.600030
0.23051115555229496,0.24269941972850334,3.657909653219223,1,sh.600031
-0.2470269150041374,-0.7544145758684394,-6.18433165420247,1,sh.600032
0.9266476982083259,1.2210305272067696,12.02800066398787,1,sh.600033
0.6800385723182184,0.7215684373545702,9.401774279545958,1,sh.600035
0.4737069711645099,0.36642293629724887,6.946878852916358,1,sh.600036
0.015831950839930213,-0.0667339084575724,0.27242532310784684,1,sh.600037
-0.15640797728579287,-0.6068843798705489,-2.9028578801704787,1,sh.600038
0.4338219426352845,0.4499121768530513,6.4398679701298835,1,sh.600039
-0.3866631224908669,-0.42492295313641504,-8.118017809566611,1,sh.600048
0.29422402997023195,0.37018203076975154,4.568186549583142,1,sh.600050
0.02798566870281051,-0.04382878588836475,0.4791862950891751,1,sh.600051
0.43896915274611586,0.2958248294901213,6.505948719866292,1,sh.600052
-0.04908260111327836,-0.050753301005447386,-0.8678735901413138,1,sh.600053
0.3197708649860814,0.3524883120809875,4.922794655910717,1,sh.600054
0.34135367345224366,0.23389611593062207,5.217983457288301,1,sh.600055
0.3363624431132272,0.24446617015713856,5.150069208366644,1,sh.600056
0.16852441171316254,0.17803820402879186,2.7340918630632145,1,sh.600057
0.6148262181647567,0.40881216916041185,8.654202600625903,1,sh.600058
0.03202127546921518,-0.20586667230581757,0.5473937316595604,1,sh.600059
1.3416124339014213,0.810631595880328,15.877329229350964,1,sh.600060
0.16202730661804352,0.29447438963812633,2.634932272451751,1,sh.600061
0.0,,0.0,0,sh.600062
0.1321215030519098,0.1379275164104561,2.172507564202339,1,sh.600063
0.6985210545047302,0.7739980621834046,9.609283070525809,1,sh.600064
2.642648915994777,0.666173470408424,25.09362098795466,1,sh.600066
0.24799434589664715,0.2140877167386953,3.9115034878746826,1,sh.600067
-0.2061017357000007,-0.46925360350016226,-3.918519636525953,1,sh.600071
0.13187657302240463,0.14781597693523435,2.1686787927695574,1,sh.600072
-0.07686707344366543,-0.33661925522813646,-1.3757054150970651,1,sh.600073
-0.013284156263004407,-0.08620932275048217,-0.23134993457242167,1,sh.600075
0.023348345249999986,0.08088401297368683,0.40053509201846266,1,sh.600076
1.472413812247812,0.46134263693506095,16.973359734941415,1,sh.600078
0.012026887280437222,-0.019542811919526223,0.2072725902946014,1,sh.600079
0.592939517970072,0.43604610582660375,8.397703802620587,1,sh.600080
0.35270711633790985,0.5438808508303601,5.371691752078638,1,sh.600081
0.17298125807045522,0.17293328907934646,2.8018495047093106,1,sh.600082
-0.25555632284999985,-0.40815886296153375,-4.982892795004851,1,sh.600084
-0.25976692624236675,-0.5114590149620889,-5.0761902152856,1,sh.600085
