total_return,sharpe_ratio,final_value,symbol
0.4402967993921842,0.33462009293350614,144029.67993921842,sh.600000
-0.27498874579016874,-0.31957698625921294,72501.12542098312,sh.600004
0.662349962815812,0.3297281436117575,166234.9962815812,sh.600006
0.6648951120630279,0.5517031883700575,166489.5112063028,sh.600007
0.16755727199172063,0.1829573286274043,116755.72719917206,sh.600008
-0.3228442075078518,-0.33827579031311616,67715.57924921482,sh.600009
0.9894432243078117,0.3958136415832552,198944.32243078118,sh.600010
0.7974434773119827,0.3505975618263185,179744.34773119827,sh.600011
2.247103058380359,0.8817311189770606,324710.3058380359,sh.600012
0.39407727986646557,0.32613949220944266,139407.72798664655,sh.600015
-0.07211316188298529,-0.12083853114745763,92788.68381170147,sh.600016
0.28356318243796136,0.45535015725924766,128356.31824379614,sh.600017
0.46300164467667,0.4809493853222099,146300.164467667,sh.600018
0.9438073774794,0.828628542448568,194380.73774794,sh.600019
0.1514727879313269,0.17169719096918976,115147.27879313269,sh.600020
1.6938561304534059,0.5135617753175734,269385.6130453406,sh.600021
0.22890380020061538,0.26389570973653953,122890.38002006154,sh.600022
0.6774315871179581,0.5937815602036356,167743.1587117958,sh.600023
1.6723420747800277,1.0396964619008147,267234.20747800276,sh.600025
0.8944671700281865,0.40415910810492683,189446.71700281865,sh.600026
0.8106522090040983,0.4828087356322059,181065.22090040983,sh.600027
0.7621012439424879,0.6794420339909766,176210.1243942488,sh.600028
0.46386867360000006,0.48177950921449925,146386.86736,sh.600029
0.378178158274272,0.3169896044280384,137817.8158274272,sh.600030
0.31790945145831123,0.25522930290248924,131790.94514583112,sh.600031
-0.4620299520620528,-1.1715082446456662,53797.004793794724,sh.600032
0.6902358074881413,0.823798901493524,169023.58074881413,sh.600033
0.3573736980369681,0.38290346265856323,135737.3698036968,sh.600035
0.4347341803472719,0.3423693225231693,143473.4180347272,sh.600036
-0.20898487164484947,-3.303547333892911,79101.51283551505,sh.600037
-0.13083679924755445,0.0029582817860354968,86916.32007524456,sh.600038
3.423005173287461,0.6141935204880448,442300.5173287461,sh.600039
-0.4626486122064819,-0.790303290121708,53735.13877935181,sh.600048
0.12478165479715025,0.1382944121387752,112478.16547971503,sh.600050
0.42537322449679194,0.32475982001979725,142537.3224496792,sh.600051
0.12617795076036725,0.14933415858391327,112617.79507603672,sh.600052
-0.34281708284282986,-0.43427118928621744,65718.29171571702,sh.600053
0.3128313330141667,0.3508138330393259,131283.13330141667,sh.600054
0.09501143183709472,0.16417392833806713,109501.14318370947,sh.600055
-0.0024553512377201697,0.11582586669391982,99754.46487622798,sh.600056
1.4763752187752524,0.724522617050691,247637.52187752523,sh.600057
0.482334063256463,0.34096494764946234,148233.4063256463,sh.600058
0.21818026751849945,0.20308267029897253,121818.02675184995,sh.600059
0.8947857095701561,0.5797535546053406,189478.57095701562,sh.600060
-0.11700426661638484,-0.2887517209505997,88299.57333836152,sh.600061
0.5296472839396287,0.5195136893960585,152964.72839396287,sh.600062
0.5233735961550207,0.3279455352793039,152337.35961550206,sh.600063
0.6310404850998049,0.686791897196465,163104.0485099805,sh.600064
2.178697730650926,0.6159826118686659,317869.7730650926,sh.600066
0.24067670323459503,0.210356576761718,124067.6703234595,sh.600067
