initial_cash,final_value,total_return,sharpe_ratio,max_drawdown,annual_return,total_trades,win_rate,params
200000,262828.7589806319,0.3141437949031594,1.117426396142515,14.073090016400126,15.251179107544669,1,0.0,"{'fast_period': 8, 'slow_period': 20, 'signal_period': 7}"
200000,261613.80669038772,0.3080690334519386,1.1181601875526317,13.953495799057478,14.974055461575468,1,0.0,"{'fast_period': 16, 'slow_period': 20, 'signal_period': 7}"
200000,261432.2018591856,0.30716100929592793,1.118734277818414,13.963050635120362,14.932579369958907,1,0.0,"{'fast_period': 12, 'slow_period': 20, 'signal_period': 9}"
200000,261429.8224944765,0.3071491124723825,1.1187197542927532,13.962662072871312,14.932035863336429,1,0.0,"{'fast_period': 12, 'slow_period': 20, 'signal_period': 7}"
200000,242073.69177329345,0.21036845886646727,1.1869720216203532,13.840929886910086,10.428953889862273,1,0.0,"{'fast_period': 12, 'slow_period': 26, 'signal_period': 11}"
200000,242073.69177329345,0.21036845886646727,1.1869720216203532,13.840929886910086,10.428953889862273,1,0.0,"{'fast_period': 16, 'slow_period': 26, 'signal_period': 9}"
200000,242071.45235167892,0.2103572617583946,1.1869692768727331,13.840389755269655,10.42842308976054,1,0.0,"{'fast_period': 12, 'slow_period': 30, 'signal_period': 11}"
200000,242071.36890559853,0.21035684452799266,1.1869698965235926,13.840425612504092,10.42840331086327,1,0.0,"{'fast_period': 16, 'slow_period': 30, 'signal_period': 9}"
200000,242071.3521113496,0.21035676055674804,1.1869730763111503,13.8404077577075,10.428399330187899,1,0.0,"{'fast_period': 16, 'slow_period': 26, 'signal_period': 11}"
200000,241485.03624751553,0.20742518123757764,1.1875015597498868,13.740022654475833,10.28934621305538,1,0.0,"{'fast_period': 16, 'slow_period': 20, 'signal_period': 9}"
200000,241484.51923826008,0.2074225961913004,1.1874741427581663,13.740038200364733,10.289223525452527,1,0.0,"{'fast_period': 16, 'slow_period': 20, 'signal_period': 11}"
200000,240488.9428437257,0.2024447142186285,1.1953119478603098,13.795161722778657,10.052736169685648,1,0.0,"{'fast_period': 12, 'slow_period': 20, 'signal_period': 11}"
200000,240488.54954968567,0.20244274774842838,1.1952951891966306,13.794840247616587,10.052642654515298,1,0.0,"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}"
200000,240488.17516401832,0.2024408758200916,1.195265773018948,13.79453926505314,10.052553635199622,1,0.0,"{'fast_period': 8, 'slow_period': 30, 'signal_period': 11}"
200000,240488.06969835956,0.2024403484917978,1.1952736504945416,13.794522428534103,10.052528558157183,1,0.0,"{'fast_period': 16, 'slow_period': 26, 'signal_period': 7}"
200000,240488.03296484984,0.20244016482424923,1.1952739476826217,13.794537052852442,10.052519823864682,1,0.0,"{'fast_period': 12, 'slow_period': 30, 'signal_period': 9}"
200000,240487.9859426846,0.20243992971342303,1.1952630806803732,13.794876808412443,10.05250864319114,1,0.0,"{'fast_period': 16, 'slow_period': 30, 'signal_period': 7}"
200000,240486.784733605,0.20243392366802496,1.195296149284317,13.794271908070295,10.052223025903205,1,0.0,"{'fast_period': 8, 'slow_period': 30, 'signal_period': 9}"
200000,240486.63664863817,0.20243318324319087,1.1952907608489638,13.794315781445942,10.05218781497754,1,0.0,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 9}"
200000,240486.40541623207,0.20243202708116034,1.195271698922487,13.793972366514026,10.05213283363593,1,0.0,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 11}"
200000,240486.38176782636,0.20243190883913179,1.1952787829619822,13.793950429826202,10.052127210629076,1,0.0,"{'fast_period': 12, 'slow_period': 26, 'signal_period': 7}"
200000,240486.307149879,0.20243153574939496,1.1952694363366378,13.793965054284758,10.05210946832223,1,0.0,"{'fast_period': 8, 'slow_period': 20, 'signal_period': 11}"
200000,240486.23966167695,0.20243119830838477,1.1952626695854185,13.79409055063201,10.052093421290646,1,0.0,"{'fast_period': 8, 'slow_period': 26, 'signal_period': 7}"
200000,240486.22351632186,0.20243111758160928,1.19526093648202,13.793976022628666,10.052089582322688,1,0.0,"{'fast_period': 12, 'slow_period': 30, 'signal_period': 7}"
200000,240486.08732140972,0.20243043660704862,1.1952531113824858,13.79409055063201,10.052057198520675,1,0.0,"{'fast_period': 8, 'slow_period': 30, 'signal_period': 7}"
200000,240485.55847664166,0.2024277923832083,1.1952199310074334,13.793765416331453,10.051931452151939,1,0.0,"{'fast_period': 8, 'slow_period': 20, 'signal_period': 9}"
200000,238990.31384397898,0.19495156921989487,1.208066258178727,13.8776525772715,9.695865985775399,1,0.0,"{'fast_period': 16, 'slow_period': 30, 'signal_period': 11}"
