total_return,sharpe_ratio,symbol,params
0.015876742779612832,0.016458992745168245,sh_600330,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.04376843969547379,0.17619155698968747,sh_600330,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.1939994268854031,0.25652641288759365,sh_600330,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.015876742779612832,0.016458992745168245,sh_600330,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
1.650495656878871,0.7001433027542817,sh_601038,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
1.546697290757069,0.6985520232046746,sh_601038,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_601038,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.8131150536838203,0.5805317048605757,sh_601038,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.1026635567687216,0.39870267001573184,sh_688125,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.1026635567687216,0.39870267001573184,sh_688125,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.023514118272370252,-1.8505528367398136,sh_688125,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.08329879796075984,0.3399820983336314,sh_688125,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_688259,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.029773509732354576,-0.3430566493415968,sh_688259,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_688259,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.0,,sh_688259,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.4647587406369642,-0.3612751593395687,sz_300427,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.4644236607869642,-0.3612178337339055,sz_300427,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.4710243005999999,-0.6263796095828229,sz_300427,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
-0.4648037120869643,-0.36127457206366387,sz_300427,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.2439497544576382,2.3911961934161265,sz_301286,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.24391413763900055,2.3922677119005504,sz_301286,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.3162382184284815,9.478871484380537,sz_301286,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.3162349563816789,9.49207782199915,sz_301286,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.3974637183500003,0.43361673684368607,sh_600293,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.3974163471500005,0.4335938859223624,sh_600293,"{'rsi_period': 14, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_600293,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.34870233735000017,0.4802823767085961,sh_600293,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
0.0,,sh_605199,"{'rsi_period': 21, 'rsi_oversold': 25, 'rsi_overbought': 75}"
0.0,,sh_605199,"{'rsi_period': 21, 'rsi_oversold': 30, 'rsi_overbought': 70}"
-0.2202999747697782,-0.37610118385158636,sz_300768,"{'rsi_period': 14, 'rsi_oversold': 25, 'rsi_overbought': 75}"
