total_return,sharpe_ratio
0.43142089807822254,0.32242412243180973
-0.22303984244849417,-0.21076118768070293
0.838201014426908,0.35072982465141267
0.6236256897145029,0.5194114367607588
0.2618382880172851,0.2837504528155489
-0.28081921404312044,-0.2554587017563928
0.9326503435768874,0.3839886891241986
0.644647973752931,0.3163266955475875
0.01634757355859998,-1.1941808067831508
0.3064022995349746,0.26463309693561365
0.06993178332404029,0.06426018212666615
0.2557257458141506,0.42566400077341876
0.3376756775104572,0.3562829664863181
1.0679628219524384,0.8513439203734309
0.434025535102445,0.5563391733421231
1.9681815400512352,0.5455418509753137
0.2561168660978049,0.29250459721448313
0.6502909464500317,0.5724015485312142
1.5251802132662369,0.9843983136881702
1.1328868264142753,0.47325054737038424
0.8831388005885691,0.5132911569281265
0.8252383225790015,0.7368735246587532
0.3221333707346997,0.34527125490524513
0.3573880494271306,0.3142595711427777
0.22847280478111395,0.24034298550804506
-0.2470646286545605,-0.754546464946486
0.9248193070852399,1.2189802235368203
0.6782545703127136,0.7205918314519573
0.47150815693553305,0.36513456393511157
0.01400975794340062,-0.07199230036115384
-0.15823059342444235,-0.6154109642841192
0.43211065106036606,0.44748056145168413
-0.3886810673744026,-0.42864594191922134
0.29238567618690986,0.3670053593394571
0.026088414681192953,-0.04773200316088031
0.4371256286563291,0.294710577502411
-0.05105697462084383,-0.05250549520533603
0.31969740115922235,0.3524055334307838
0.3393670820246995,0.23343693746429195
0.33446521787427774,0.2438183262344552
0.16669248560798688,0.17594385733451287
0.6130254404060758,0.4074924925239527
0.03019230244304854,-0.2202028494261804
1.3397237139235367,0.8090566534336177
0.16064673994460493,0.2894333024123408
0.0,
0.1302994331359645,0.13664114697942456
0.6974283002079112,0.7723255228173758
2.640880864490829,0.6654951371061687
0.24615091544224152,0.2130244034866732
-0.20801949293570027,-0.4695296348693692
0.13005182099833154,0.14662805637030726
-0.07869131190783417,-0.3442538174277197
-0.015101714828764379,-0.08961406569409601
0.0215319331796997,0.07986809293782893
1.470553474964201,0.4613119450321285
0.010106393314519955,-0.022858856487608683
0.591103455388686,0.4347472362397704
0.3509306523635515,0.5419624209972946
0.17114057545171527,0.17150410147348957
-0.2573988153521996,-0.4117011439842452
-0.26153189770240365,-0.5166374544561148
0.4667236870760456,0.39276841207025887
0.6055952119752156,0.36837721717860783
-0.20714273589814022,-0.2662472083138326
0.2374567634502986,0.21716984591619018
1.0140909451136024,0.563133551085492
0.6248775466422809,0.5126908514972112
0.3032725196010905,0.46962597848881193
0.746662803301615,0.6724446630197626
0.3051614298047419,0.2452939625552906
0.992784996333422,0.8861011407485958
0.8687362586927655,0.5522422352177262
0.01096701384299231,0.10562644878760535
4.1189414119441725,0.4808808666944368
1.5682399193403884,0.7460248529654262
-0.1726297250936998,-0.07209714415646086
0.19582658756208518,0.20704557107351237
0.17847237565895543,0.1892987439235208
-0.20035725243951877,-0.047783665649320586
0.3940745771219081,0.2590863288526318
9.91479043716735,0.6168872249595687
2.839415101724904,0.7539663676865165
0.2535105101729641,0.23496081317060816
-0.1708507735305873,-1.2021346664095511
0.2674923462492996,0.3888527482185749
2.96214783331254,0.4886248783354632
0.23915054093460014,0.2529941239156351
0.41942005659812015,0.3759442356399145
0.01746378907319973,-0.004485211650450553
0.6962183252711815,0.4017720785206321
0.3594633423686499,0.5025092984875693
0.4244136862790486,0.296512083608567
-0.18117107562690013,-1.2090629685351038
0.7547988226980119,0.6374812052467159
-0.4582123024085236,-0.4182547147659874
0.31415489803189994,0.3562376941825443
0.12544362745612553,0.15278135914294044
-0.3232827294957035,-0.7047206137776698
0.0,
0.8479312838258667,0.47301361300721784
-0.6727018134387002,-0.46447175076340236
0.40984941893589594,0.3643739917841536
-0.032689034986423504,0.018454111211914436
0.2954965521020684,0.25053609609917393
0.21821633573449262,0.19912309933982977
0.5871679994127882,0.4560688089170477
0.02830865003389976,0.04803503647522533
1.083080138309974,0.6118188751210374
0.7742752597449001,0.3562633082656799
0.4529471575028001,0.2937678663568474
0.6896320130384634,0.45244879450024017
-0.22660658518709983,-0.21160020806620342
1.0586764215294178,0.5930890931364503
0.0977862668974817,0.10220516909935809
-0.030677713470311282,-0.2612989540940138
0.27618238054118366,0.2713978224152438
1.0829428423358436,0.6348310307209221
0.10634434153475333,0.12500430585075548
0.20219516585283956,0.2950691438960779
-0.011474718921021558,-0.00044954137223964305
0.07075540230615006,0.27387051706516236
-0.012544053875900135,-0.14392494857987842
-0.27285684582168296,-0.3587479998429743
0.1688448695884974,0.23608393618919693
0.1725368548299001,0.1836801881802116
0.03970576670379713,0.050341687298902885
0.7756044323678355,0.31893297746790145
1.1190773723323002,0.3983960069757065
0.5021472315618771,0.31910614706884316
1.620029035850393,0.4780659188169681
0.5718411706986589,0.46596426851777456
1.2410352340196396,0.41719202868732147
0.5719639408566488,0.3278458870624093
-0.2461142375588855,-0.18563764072152764
0.20514310819445788,0.2703989782219288
2.6035115583236648,0.5169563764010585
0.6409811780679281,0.36910299909737226
0.5768531958069728,0.3694055182868379
1.7164609156276995,0.5477516007322012
0.16398929137679996,0.16559527366036164
0.03107477502385329,-0.2735450313725848
0.0892500443203999,0.12503776958369986
1.454047283464191,0.5920659070716608
1.4656985494487997,0.6453653371871705
-0.1652680880249107,-0.07878593642278066
-0.22718481274566685,-0.22196366518135718
-0.18892953991257613,-0.2443185474747254
0.07417379678610028,0.11130725432074436
-0.2178734457955,0.030108855830487682
-0.1225536989794555,0.08711160478703053
0.345649852732938,0.31790829686758143
0.8607051285410151,0.607736663381606
0.6439940227641567,0.6456028023890806
-0.12784191302129985,-0.25111657779534546
0.4752222701186023,0.4219435995393732
0.6979465979535534,0.5988702677535065
0.9466671828146945,0.8547936913566987
1.1930776109858006,0.5288650034028544
0.3207040032519397,0.26037807956096165
0.18702192719413274,0.1795308876625082
-0.0013777259913070885,-0.005167757858046708
0.11666761433000472,0.12654979028340868
0.6191829887828507,0.422907079375582
0.17437203952860028,0.19180346078234548
0.39149582359641444,0.2680479070930843
0.18361251084902352,0.17198524686955075
1.2877269674267995,0.5047356911467614
-0.009255916468400393,0.042823800964316254
-0.2857244205533998,-0.6340323028102418
0.1543623598235978,0.18617739384312637
0.2068612246036074,0.20661234073995377
0.03168511127690014,-0.0027043169742035716
0.9578429595890382,0.6646604968936694
0.6538965363455229,0.417585924700717
0.37893156223119995,0.26984829835143853
0.45943637187334213,0.521912764427082
0.0,
0.5585833977860215,0.5042296358589865
0.3551440233360001,0.2792546626430306
-0.13999889232500048,-0.16913729557365578
0.9413670301681999,0.3473351833874453
0.5182553974461003,0.34107527985942526
0.6664739482953,0.4008079818159615
0.035735845793546175,0.031038808038224588
0.4307925309253196,0.5410985330441352
1.1778449910195,0.4842559809618972
0.7264184597795252,0.4404189640723886
-0.006981840361557406,0.033119254435584354
2.823060219024901,0.7339640803598514
1.3181810242538368,0.4547323210470663
0.26766374355520006,0.25917103921237994
0.06147083923619051,0.029984675000910996
0.7503132641552761,0.3755773465654177
0.19705090850483814,0.7719611735569774
0.5835080261286278,0.38223959195043
0.02380502227630059,0.03275788471160592
-0.03157782662705867,-0.1873723329828065
0.09338057848360942,0.09796476955481269
1.3161118820109232,0.7192543268846501
0.6586074644416181,0.5749220712972714
-0.21115276681990144,-0.26374973320369766
0.9489477902712632,0.8524204834361288
0.2612297277167848,0.5313402120932843
0.03680101612299273,0.03759321636193125
0.4686386357766119,0.5017907794824348
0.4706227332618539,1.1215440508968242
0.7305119719933,1.1055380011134979
0.3940382844672,0.27709903905354144
0.0,
0.4645241190590849,0.6940965116437238
0.6794096972537355,0.7105949139820208
