initial_cash,final_value,total_return,sharpe_ratio,max_drawdown,annual_return,total_trades,win_rate,params
200000,273374.7565713718,0.366873782856859,1.0971238488973656,14.022118115867428,17.631275075981208,1,0.0,"{'fast_period': 3, 'slow_period': 15}"
200000,269447.2466029819,0.34723623301490936,1.1029197907397768,13.980125469209522,16.750130157202868,1,0.0,"{'fast_period': 5, 'slow_period': 15}"
200000,247829.61218853804,0.2391480609426902,1.1604223927653097,13.9192175479759,11.78554886211377,1,0.0,"{'fast_period': 3, 'slow_period': 20}"
200000,246740.41205385549,0.23370206026927742,1.1650950917080047,13.9154855779126,11.530009273265003,1,0.0,"{'fast_period': 15, 'slow_period': 30}"
200000,246686.58012264947,0.23343290061324734,1.1637979306474318,13.8539845753656,11.517365608373359,1,0.0,"{'fast_period': 10, 'slow_period': 30}"
200000,246167.69188335806,0.2308384594167903,1.1666984265086968,13.879696451073432,11.395424760691823,1,0.0,"{'fast_period': 10, 'slow_period': 15}"
200000,246166.8539838596,0.23083426991929795,1.166793647733404,13.879891463282458,11.39522775109242,1,0.0,"{'fast_period': 5, 'slow_period': 20}"
200000,245094.69683693277,0.22547348418466384,1.1717767519248825,13.875501863593632,11.142874237891153,1,0.0,"{'fast_period': 10, 'slow_period': 40}"
200000,244921.0538126241,0.2246052690631205,1.1728496643645636,13.883585630216448,11.101954034807328,1,0.0,"{'fast_period': 10, 'slow_period': 20}"
200000,244915.93694772988,0.22457968473864937,1.1727958355543706,13.881883867960138,11.10074799814666,1,0.0,"{'fast_period': 15, 'slow_period': 20}"
200000,243296.29029852172,0.2164814514926086,1.1800484052662055,13.840374575197922,10.718389627196242,1,0.0,"{'fast_period': 5, 'slow_period': 50}"
200000,243294.36036154503,0.21647180180772513,1.1800366529011028,13.839489017889065,10.717933288780628,1,0.0,"{'fast_period': 3, 'slow_period': 50}"
200000,242073.7250202088,0.210368625101044,1.1870005876621075,13.841612907009761,10.428961770212334,1,0.0,"{'fast_period': 5, 'slow_period': 30}"
200000,242071.45305394375,0.21035726526971876,1.1870053071003952,13.841237844481869,10.428423256215607,1,0.0,"{'fast_period': 5, 'slow_period': 40}"
200000,240486.17124444715,0.20243085622223575,1.1952945619092266,13.795036353258844,10.052077153356924,1,0.0,"{'fast_period': 3, 'slow_period': 30}"
200000,240486.06368269547,0.20243031841347736,1.1953100138792943,13.794798438859532,10.052051577814645,1,0.0,"{'fast_period': 3, 'slow_period': 40}"
200000,238991.41383141157,0.19495706915705785,1.2080733084498696,13.87907739488673,9.696128320636472,1,0.0,"{'fast_period': 15, 'slow_period': 40}"
200000,236834.709328219,0.184173546641095,1.224279586741919,13.865250952442787,9.180658739213012,1,0.0,"{'fast_period': 10, 'slow_period': 50}"
200000,235760.01514370905,0.17880007571854525,1.2308010842037067,13.789616339801333,8.9229564701698,1,0.0,"{'fast_period': 15, 'slow_period': 50}"
200000,200000.0,0.0,,0.0,0.0,0,0.0,"{'fast_period': 15, 'slow_period': 15}"
