date,open,high,low,close,volume,amount
2021-04-27,48.25183495,50.6113766,38.18656869,38.2910853,25639372,3391895432.26
2021-04-28,38.639474,41.85415155,35.472304,40.41942354,17225392,2149315273.19
2021-04-29,41.806644,43.98565696,40.57461487,40.71397035,14781654,1973253100.88
2021-04-30,41.17321,44.2453649,40.66012846,44.2453649,12562282,1686533155.2
2021-05-06,44.97698117,46.7474292,43.10835087,43.706946,12279067,1738400453.78
2021-05-07,43.706946,43.706946,39.4312665,39.48827556,10467119,1361486089.47
2021-05-10,39.27607517,41.00851716,38.5127872,39.72264614,6415368,803468568.59
2021-05-11,38.98152836,39.2412363,37.689323,38.20557171,4802416,581761498.93
2021-05-12,37.372606,40.0330288,36.77717804,39.589625,6750608,818872097.86
2021-05-13,39.23173479,40.97367829,38.90234911,39.61179519,6074645,766433787.29
2021-05-14,39.75431784,40.3814175,38.7344891,39.1462212,4938332,616268108.57
2021-05-17,39.56428764,40.91350206,39.26974083,39.85883445,5060719,639620196.75
2021-05-18,39.27607517,39.29824536,37.42011355,37.65131696,5904989,709437544.41
2021-05-19,37.3092626,38.1010551,37.09389504,37.372606,3364865,399701754.44
2021-05-20,37.055889,38.15806416,36.37178028,37.54996752,5031204,592439109.19
2021-05-21,37.21741467,37.31242977,36.0423946,36.09940366,4204107,485794133.68
2021-05-24,35.789021,35.789021,34.81986698,35.23159908,3555922,396465880.13
2021-05-25,35.78585383,36.38761613,35.50714287,35.54514891,3328493,376702346.85
2021-05-26,35.22843191,36.46996255,34.6805115,36.11840668,4370250,492694424.64
2021-05-27,35.9473795,36.85319012,35.789021,36.65999275,3881365,445371777.37
2021-05-28,36.6441569,36.6441569,35.21259606,35.27593946,4036180,456751479.04
2021-05-31,36.00122139,38.31642266,35.78585383,37.73049621,6692063,788965255.31
2021-06-01,37.055889,37.84134716,36.66949426,37.34410147,4030567,472590559.35
2021-06-02,36.42562217,36.68849728,35.51031004,35.64333118,4665591,529124936.78
2021-06-03,35.6623342,36.08990215,35.47547117,35.789021,2425439,273637628.77
2021-06-04,35.7256776,36.84368861,35.6306625,36.25776216,3138041,359933657.15
2021-06-07,35.99805422,36.105738,35.5356474,35.61165948,2656198,299688647.45
2021-06-08,35.67500288,35.96954969,34.83887,34.95922246,2748294,305587429.95
2021-06-09,34.96238963,35.5356474,34.68367867,35.46913683,1938602,215771723.63
2021-06-10,35.60532514,35.61482665,34.7755266,34.81353264,2416031,266642799.09
2021-06-11,34.41446922,34.7121832,32.88155894,32.99240989,4130245,436839543.67
2021-06-15,32.62818534,32.80871403,31.43416225,31.51017433,3051737,307991380.69
2021-06-16,31.354983,31.97574832,30.89891052,31.6083566,2199241,218632484.34
2021-06-17,31.40565772,31.60518943,30.62336673,30.721549,2683093,262875803.77
2021-06-18,30.48401125,31.44366376,30.47767691,31.35815017,2044538,200714659.36
2021-06-21,31.19345733,34.08825071,31.08894072,33.24261632,4176518,435123704.64
2021-06-22,33.08742499,33.08742499,32.4634925,32.4951642,2252705,231853974.07
2021-06-23,32.50783288,32.89106045,32.05809474,32.69469591,1980244,203123182.2
2021-06-24,32.50466571,34.19910166,32.2101189,33.77786805,3079719,324353633.35
2021-06-25,33.70502314,34.80086396,33.28378953,34.1420926,3355238,364147276.51
2021-06-28,33.888719,36.6758286,33.82854277,35.81752553,4794992,538771043.94
2021-06-29,35.68450439,37.1192324,35.55465042,36.74233917,4519056,518118860.07
2021-06-30,36.2640965,36.37178028,35.64649835,35.74468062,3124008,353346767.14
2021-07-01,35.9473795,37.74633206,35.72251043,35.72884477,3881882,451409868.59
2021-07-02,35.11758096,35.89987195,34.54749036,34.7755266,2936962,324829212.06
2021-07-05,34.56966055,35.0605719,33.1919416,33.45481671,2839524,304561566.15
2021-07-06,33.7303605,34.0154058,32.94173517,33.80953975,2012969,212880089.74
2021-07-07,33.0335831,34.16742996,33.0335831,33.89822051,1785370,190728953.56
2021-07-08,33.91088919,34.16109562,32.98924272,33.05892046,1914411,200911634.94
2021-07-09,33.03675027,35.24426776,33.0335831,34.91171491,3387063,366835147.37
2021-07-12,34.88637755,35.66866854,34.4271379,34.80403113,2510509,277055400.29
2021-07-13,34.73435339,35.21259606,33.83170994,35.21259606,2198736,239752586.26
2021-07-14,35.155587,36.5808135,34.81986698,36.105738,2906643,329867493.83
2021-07-15,36.422455,37.5309645,35.6306625,36.79618106,3495206,404353257.82
2021-07-16,36.2957682,36.67266143,35.0922436,35.1239153,3108712,350344852.41
2021-07-19,34.9022134,35.69083873,34.83887,35.30761116,1373313,153171822.47
2021-07-20,35.789021,36.57447916,35.4089606,35.4089606,2025331,229784263.38
2021-07-21,34.87370887,35.08907643,34.40180054,34.76285792,2295765,250923980.88
2021-07-22,34.73118622,34.7438549,33.94572806,34.06291335,1755363,189416887.07
2021-07-23,33.98690127,34.24344204,32.8118812,33.22994764,2238068,235068503.69
2021-07-26,33.0969265,33.0969265,31.56718339,32.18794871,1796288,182896979.57
2021-07-27,32.0200887,33.15393556,31.74454491,32.90056196,1855786,190521043.68
2021-07-28,32.93223366,35.43429796,32.93223366,34.71851754,3523171,379715797.4
2021-07-29,34.46197677,34.85470585,33.58783785,34.52848734,2338116,252713239.68
2021-07-30,34.19910166,36.38761613,34.0470775,35.8206927,3642070,406903648.86
2021-08-02,36.4857984,37.372606,35.41212777,35.52297872,3529735,403901723.26
2021-08-03,35.43429796,37.28075807,35.32978135,37.14456976,4084328,472529777.85
2021-08-04,37.055889,37.055889,35.9790512,36.60931803,2541114,291733391.49
2021-08-05,36.70116596,37.33143279,35.4089606,35.46280249,2691905,307712452.17
2021-08-06,35.14925266,35.71934326,34.2687794,34.35429299,2068069,227696272.16
2021-08-09,34.1737643,36.51113576,33.86338164,35.93787799,2351979,264717338.5
2021-08-10,35.95371384,36.35277726,35.472304,36.16591423,1778594,201671463.75
