date,open,high,low,close,volume,amount
2020-01-02,5.75034992,5.82369622,5.73568066,5.80902696,23128939,182591260.36
2020-01-03,5.84570011,6.0143966,5.82369622,5.98505808,44103627,357571706.61
2020-01-06,6.2344355,6.50581681,6.13175068,6.46180903,83788225,717838938.23
2020-01-07,6.27844328,6.29311254,6.16842383,6.25643939,50855861,432402397.44
2020-01-08,6.5278207,6.80653664,6.37379347,6.77719812,108869630,975806723.74
2020-01-09,6.25643939,6.35912421,6.19042772,6.24910476,73002060,625091542.56
2020-01-10,6.16842383,6.17575846,6.10241216,6.1610892,33752956,282232010.49
2020-01-13,6.13175068,6.13908531,6.05106975,6.10974679,21281005,176787200.28
2020-01-14,6.00706197,6.15375457,5.99239271,6.10974679,22448285,185985522.03
2020-01-15,6.0877429,6.10241216,6.0143966,6.05840438,18230709,150618042.7
2020-01-16,6.06573901,6.09507753,5.93371567,5.94838493,20465836,167459058.77
2020-01-17,5.92638104,6.00706197,5.90437715,5.97772345,16897927,137077899.19
2020-01-20,5.94838493,5.97772345,5.89704252,5.94838493,14348468,116049463.52
2020-01-21,5.97038882,6.04373512,5.93371567,5.95571956,18974834,154734715.16
2020-01-22,5.867704,5.867704,5.68433825,5.74301529,23453698,183976749.4
2020-01-23,5.77235381,5.80169233,5.55964954,5.61099195,19491641,151195392.19
2020-02-03,5.134241,5.55231491,5.05356007,5.134241,41197775,293893246.13
2020-02-04,5.134241,5.25892971,5.11957174,5.22225656,23456975,166353502.52
2020-02-05,5.14157563,5.45696472,5.12690637,5.38361842,31559885,228502616.45
2020-02-06,5.31760675,5.4276262,5.28826823,5.39828768,23999245,175491225.8
2020-02-07,5.42029157,5.53764565,5.36894916,5.44229546,25842716,192478091.33
2020-02-10,5.46429935,5.69900751,5.40562231,5.58898806,29243380,220960817.25
2020-02-11,5.53764565,5.63299584,5.47163398,5.50830713,23383618,176608139.89
2020-02-12,5.47163398,5.56698417,5.46429935,5.55231491,18395238,138547747.8
2020-02-13,5.55231491,5.83103085,5.52297639,5.7943577,44920738,348983929.65
2020-02-14,5.7210114,5.81636159,5.69900751,5.7210114,28222546,220977092.98
2020-02-17,5.75034992,5.867704,5.71367677,5.84570011,26973538,213274497.08
2020-02-18,5.88237326,6.0143966,5.86036937,5.97772345,35067726,284760820.37
2020-02-19,6.1610892,6.19776235,6.0143966,6.07307364,49150733,408725746.98
2020-02-20,6.05106975,6.09507753,5.97772345,6.03640049,35306384,290729519.32
2020-02-21,6.13908531,6.37379347,6.09507753,6.32245106,59248855,505015678.73
2020-02-24,6.601167,6.6745133,6.41780125,6.46180903,62542292,554796213.93
2020-02-25,6.27110865,6.58649774,6.21976624,6.29311254,75228973,650637005.91
2020-02-26,6.17575846,6.2344355,5.98505808,6.04373512,52559382,436317483.02
2020-02-27,6.0143966,6.12441605,5.98505808,6.0877429,35857995,295952627.58
2020-02-28,5.88970789,5.95571956,5.61832658,5.64033047,47911869,379664391.85
2020-03-02,5.55964954,5.74301529,5.50830713,5.73568066,32636547,251759305.1
2020-03-03,5.73568066,5.85303474,5.71367677,5.77968844,32846544,258904771.32
2020-03-04,5.94838493,5.99972734,5.84570011,5.90437715,38428310,310123725.55
2020-03-05,5.86036937,5.94838493,5.83836548,5.9410503,28606256,230172202.35
2020-03-06,6.03640049,6.10974679,5.97772345,6.05106975,42323320,349203484.15
2020-03-09,6.1610892,6.18309309,5.7943577,5.81636159,45728331,372966118.97
2020-03-10,5.62566121,5.80169233,5.59632269,5.78702307,33648899,261357830.05
2020-03-11,5.74301529,5.89704252,5.7210114,5.83836548,25489808,202160271.07
2020-03-12,5.69167288,5.76501918,5.58898806,5.6476651,22719518,174915076.95
2020-03-13,5.18558341,5.47163398,5.15624489,5.4276262,32328466,233181326.22
2020-03-16,5.37628379,5.52297639,5.28826823,5.32494138,24970757,184167327.49
2020-03-17,5.31760675,5.39095305,5.08289859,5.2075873,24653696,174907951.17
2020-03-18,5.2809336,5.31760675,5.12690637,5.12690637,17462584,124577668.96
2020-03-19,5.09756785,5.12690637,4.95087525,5.09023322,19833648,136727173.56
2020-03-20,5.10490248,5.28826823,5.0608947,5.27359897,26675297,187511450.76
2020-03-23,5.11957174,5.31027212,5.09023322,5.15624489,21454613,151719694.85
2020-03-24,5.53764565,5.66966899,5.4276262,5.66966899,71731616,542260870.33
2020-03-25,6.1610892,6.1610892,5.75768455,5.83836548,69339896,560402781.97
2020-03-26,5.75768455,6.06573901,5.70634214,6.00706197,55678632,449043579.4
2020-03-27,5.94838493,6.15375457,5.89704252,6.0143966,54520243,447702427.8
2020-03-30,5.9410503,6.02906586,5.75768455,5.80902696,36393094,291231007.13
2020-03-31,5.82369622,5.89704252,5.67700362,5.76501918,25665872,202284878.52
2020-04-01,5.59632269,5.83103085,5.47163398,5.81636159,43619562,332539056.4
2020-04-02,5.63299584,5.66966899,5.55964954,5.6476651,28764869,220143915.14
2020-04-03,5.67700362,5.81636159,5.61832658,5.65499973,34997485,272152308.86
2020-04-07,5.85303474,6.19776235,5.80902696,6.16842383,83397357,688878306.31
2020-04-08,6.05106975,6.19042772,5.99972734,6.10241216,46743327,389389355.25
2020-04-09,6.10241216,6.13908531,6.02906586,6.10974679,28199167,233894501.18
2020-04-10,6.32978569,6.38846273,6.10241216,6.13175068,52082340,443134630.73
2020-04-13,6.1610892,6.42513588,6.12441605,6.38846273,45077107,385860410.41
2020-04-14,6.52048607,6.63784015,6.37379347,6.4544744,61714963,546419713.26
2020-04-15,6.35178958,6.50581681,6.3077818,6.32245106,43086988,376202176.31
2020-04-16,6.28577791,6.38846273,6.24177013,6.38846273,28551181,245979995.49
2020-04-17,6.29311254,6.3077818,6.05840438,6.08040827,45124360,379076453.19
2020-04-20,5.97772345,6.07307364,5.91904641,6.03640049,24005313,196571219.56
2020-04-21,6.05840438,6.10241216,5.87503863,5.94838493,31145814,253221753.85
2020-04-22,5.92638104,5.96305419,5.88970789,5.90437715,23552230,190044482.02
2020-04-23,6.0143966,6.10974679,5.97772345,6.09507753,41780565,344608554.5
2020-04-24,6.05106975,6.18309309,5.96305419,6.00706197,32880032,270841079.1
2020-04-27,5.96305419,5.97038882,5.83836548,5.87503863,25332746,203664108.38
2020-04-28,5.75034992,5.75768455,5.51564176,5.56698417,33737493,258437116.01
2020-04-29,5.58898806,5.63299584,5.52297639,5.53031102,16871337,128324074.61
2020-04-30,5.53764565,5.58165343,5.5009725,5.58165343,22703936,171468608.76
2020-05-06,5.53764565,5.60365732,5.51564176,5.59632269,16087735,122122111.2
2020-05-07,5.55964954,5.67700362,5.52297639,5.60365732,20320300,154958544.54
2020-05-08,5.69900751,5.75768455,5.64033047,5.7210114,25005640,194395071.04
2020-05-11,5.66966899,5.71367677,5.58165343,5.64033047,15392094,118405986.5
2020-05-12,5.58898806,5.64033047,5.53031102,5.61099195,14058468,106993754.73
2020-05-13,5.61099195,5.65499973,5.60365732,5.63299584,9291510,71302640.31
2020-05-14,5.66233436,5.69900751,5.58898806,5.68433825,16409883,126452317.94
2020-05-15,5.7210114,5.80169233,5.69167288,5.75768455,22731530,178337261.45
2020-05-18,5.867704,6.19042772,5.84570011,6.08040827,49163255,404959224.63
2020-05-19,5.9410503,5.95571956,5.86036937,5.89704252,29948700,241121553.5
2020-05-20,5.95571956,6.05840438,5.92638104,5.97038882,26271976,214329993.42
2020-05-21,5.88970789,5.95571956,5.75768455,5.77235381,21457935,171480913.51
2020-05-22,5.71367677,5.75768455,5.62566121,5.71367677,18086781,140351304.93
2020-05-25,5.6476651,5.69900751,5.61832658,5.66233436,8536765,65763371.2
2020-05-26,5.70634214,5.80902696,5.69900751,5.75768455,12393734,97132515.36
2020-05-27,5.67700362,5.72834603,5.59632269,5.64033047,15681189,120849511.09
2020-05-28,5.65499973,5.81636159,5.6476651,5.78702307,20030770,156790019.38
2020-05-29,5.75768455,5.83103085,5.73568066,5.7943577,18131298,142951903.95
2020-06-01,5.81636159,5.9410503,5.78702307,5.90437715,21305631,170869207.32
2020-06-02,5.88237326,5.92638104,5.83836548,5.88237326,16380813,131292414.04
2020-06-03,5.83836548,5.86036937,5.77235381,5.7943577,20125047,159614726.79
2020-06-04,5.70634214,5.73568066,5.66966899,5.69167288,18953892,147289815.49
2020-06-05,5.7210114,5.73568066,5.66233436,5.69167288,11054925,85786098.58
2020-06-08,5.64033047,5.73568066,5.61099195,5.72834603,16059913,124287117.63
2020-06-09,5.71367677,5.72834603,5.65499973,5.67700362,12397250,95952385.97
2020-06-10,5.7210114,5.74301529,5.69900751,5.7210114,12741450,99322542.67
2020-06-11,5.75768455,5.77968844,5.67700362,5.72834603,17428621,136002407.27
2020-06-12,5.61099195,5.66233436,5.59632269,5.6476651,12699959,97418321.79
2020-06-15,5.63299584,5.66233436,5.53031102,5.54498028,15147392,115706720.79
2020-06-16,5.5743188,5.61832658,5.56698417,5.59632269,9862765,75189256.36
2020-06-17,5.59632269,5.66233436,5.55964954,5.65499973,13023683,99589794.72
2020-06-18,5.62566121,5.64033047,5.58898806,5.60365732,9190750,70299695.62
2020-06-19,5.60365732,5.6476651,5.58165343,5.64033047,12385990,94756333.4
2020-06-22,5.73568066,5.77968844,5.69900751,5.69900751,22305204,174546498.52
2020-06-23,5.7210114,5.76501918,5.63299584,5.63299584,14874386,115348704.16
2020-06-24,5.75817098,5.8170781,5.70662725,5.71399064,19347866,151281247.28
2020-06-29,5.73608081,5.84653166,5.70662725,5.82444149,24257816,190334999.08
2020-06-30,5.78026115,5.80971471,5.72871742,5.80235132,16624146,130185630.23
2020-07-01,5.85389505,5.90543878,5.80971471,5.86125844,23781365,189145048.13
2020-07-02,5.76553437,5.82444149,5.75080759,5.8170781,26431014,207611914.99
2020-07-03,5.80235132,5.91280217,5.79498793,5.890712,24895741,198508612.09
2020-07-06,5.87598522,6.13370387,5.86862183,6.1116137,40837982,334308276.66
2020-07-07,6.1852476,6.3325154,6.12634048,6.19261099,44064459,373400047.45
2020-07-08,6.28097167,6.39142252,6.19997438,6.3325154,39724779,340662465.6
2020-07-09,6.46505642,6.75959202,6.42823947,6.67123134,64388547,576745258.3
2020-07-10,6.50923676,6.53869032,6.27360828,6.28097167,53424481,464905611.57
2020-07-13,6.3325154,6.50187337,6.31042523,6.47241981,36169768,315580980.32
2020-07-14,6.36933235,6.45032964,6.23679133,6.35460557,36932347,318175121.54
2020-07-15,6.41351269,6.47241981,6.23679133,6.28097167,24396607,210061296.52
2020-07-16,6.27360828,6.3325154,5.97907268,6.02325302,31135184,260985528.45
2020-07-17,5.99379946,6.0379798,5.90543878,5.95698251,25832208,209360454.31
2020-07-20,6.01588963,6.22942794,5.97907268,6.19997438,28255466,234667788.45
2020-07-21,6.28097167,6.4061493,6.24415472,6.39878591,36167563,311096812.12
2020-07-22,6.73750185,6.76695541,6.50187337,6.5534171,62169127,558059948.97
2020-07-23,6.69332151,6.81113575,6.56814388,6.63441439,64179896,583010149.25
2020-07-24,6.75959202,7.28239271,6.65650456,6.9215866,98465767,928223196.2
2020-07-27,7.1424883,7.53274797,6.98785711,7.40020695,113608092,1125352932.86
2020-07-28,7.66528899,7.72419611,6.9215866,7.05412762,110293703,1095670230.14
2020-07-29,7.10567135,7.12039813,6.94367677,7.09830796,52354723,502121233.82
2020-07-30,7.13512491,7.1424883,6.88476965,6.90685982,43901721,416780605.68
2020-07-31,6.95104016,7.23821237,6.89949643,7.17930525,53377164,512017565.99
2020-08-03,7.03940084,7.19403203,6.96576694,7.11303474,44657858,428885337.67
2020-08-04,7.08358118,7.25293915,6.98049372,6.9952205,37414291,359913727.43
2020-08-05,7.20875881,7.31184627,7.10567135,7.27502932,50168368,491615687.24
2020-08-06,7.22348559,7.65056221,7.20139542,7.48856763,68982534,693683399.41
2020-08-07,7.5842917,7.64319882,7.06149101,7.12776152,60178520,604042860.12
2020-08-10,6.98049372,6.98049372,6.81849914,6.90685982,33718434,315667928.54
2020-08-11,6.81849914,6.92894999,6.627051,6.66386795,36483781,336001121.55
2020-08-12,6.32515201,6.41351269,6.19261099,6.39142252,43480077,371823396.34
2020-08-13,6.39878591,6.50923676,6.36933235,6.49450998,20787232,181822620.23
2020-08-14,6.51660015,6.59023405,6.43560286,6.50923676,16763604,148469060.91
2020-08-17,6.4797832,6.71541168,6.44296625,6.71541168,21689319,194452533.94
2020-08-18,6.80377236,6.98785711,6.7743188,6.95104016,34738274,324651063.73
2020-08-19,6.90685982,6.90685982,6.69332151,6.7006849,25666379,236111912.71
2020-08-20,6.4797832,6.69332151,6.42823947,6.59023405,16872676,150578573.38
2020-08-21,6.59759744,6.67859473,6.56814388,6.60496083,10476308,94264857.98
2020-08-24,6.56078049,6.81113575,6.52396354,6.78168219,17536493,160042453.22
2020-08-25,6.78904558,7.02467406,6.75959202,6.80377236,34453168,322606239.46
2020-08-26,6.7743188,7.16457847,6.75959202,6.9952205,47511647,451674625.49
2020-08-27,7.09830796,7.17930525,6.89949643,6.9952205,30901930,294214526.33
2020-08-28,6.9215866,7.04676423,6.78904558,7.02467406,24998208,235672119.6
2020-08-31,7.11303474,7.25293915,6.9952205,7.01731067,34388687,332248900.82
2020-09-01,7.06149101,7.29711949,7.01731067,7.24557576,37614019,367377423.68
2020-09-02,7.09094457,7.10567135,6.95840355,7.01731067,30571190,291244442.35
2020-09-03,6.98049372,7.00994728,6.84058931,6.87740626,21381508,200759936.78
2020-09-04,6.84058931,6.96576694,6.78904558,6.88476965,16186236,151157604.8
2020-09-07,6.87740626,7.01731067,6.72277507,6.75222863,24162337,225789654.44
2020-09-08,6.71541168,6.81849914,6.57550727,6.75959202,21105207,191835140.14
2020-09-09,6.68595812,6.81113575,6.58287066,6.64914117,15605937,141654140.63
2020-09-10,6.73750185,6.78168219,6.59023405,6.61232422,18946966,172021750.17
2020-09-11,6.59023405,6.67859473,6.50923676,6.64914117,13899916,124310996.77
2020-09-14,6.627051,6.81113575,6.61232422,6.73013846,16868472,154243752.77
2020-09-15,6.75959202,6.95104016,6.71541168,6.89949643,19965863,186135894.39
2020-09-16,6.81849914,6.83322592,6.73750185,6.7743188,15016543,138159509.12
2020-09-17,6.73750185,6.75222863,6.50923676,6.627051,17594180,158072598.82
2020-09-18,6.63441439,6.78168219,6.61968761,6.76695541,15893099,145220295.59
2020-09-21,6.7006849,6.88476965,6.7006849,6.79640897,16245360,150245109.12
2020-09-22,6.59023405,6.61968761,6.42823947,6.45032964,30833569,272621335.92
2020-09-23,6.4061493,6.46505642,6.31042523,6.35460557,16955080,146648101.65
2020-09-24,6.27360828,6.3325154,6.1852476,6.20733777,16334633,138576739.89
2020-09-25,6.22942794,6.29569845,6.22206455,6.26624489,12172950,103417776.47
2020-09-28,6.24415472,6.42087608,6.1852476,6.35460557,15842962,135760150.48
2020-09-29,6.38405913,6.43560286,6.28097167,6.3325154,13733293,118577277.22
2020-09-30,6.37669574,6.38405913,6.22206455,6.28097167,10695720,91500288.32
2020-10-09,6.3325154,6.39878591,6.29569845,6.36196896,15039609,129890992.61
2020-10-12,6.42823947,6.53869032,6.42087608,6.51660015,19593445,172660628.23
2020-10-13,6.47241981,6.67123134,6.42087608,6.60496083,18458682,163910291.32
2020-10-14,6.48714659,6.53869032,6.45769303,6.50187337,15482460,136506607.77
2020-10-15,6.48714659,6.53132693,6.46505642,6.49450998,7785771,68720632.31
2020-10-16,6.51660015,6.56814388,6.41351269,6.45769303,10091697,88844492.83
2020-10-19,6.44296625,6.53132693,6.4061493,6.51660015,13961228,122739268.61
2020-10-20,6.44296625,6.46505642,6.31042523,6.39878591,15662932,135498273.62
2020-10-21,6.44296625,6.53132693,6.42087608,6.51660015,19213429,169286164.07
2020-10-22,6.48714659,6.48714659,6.35460557,6.44296625,11594209,100909286.72
2020-10-23,6.37669574,6.45032964,6.37669574,6.41351269,8530085,74271857.96
2020-10-26,6.38405913,6.41351269,6.30306184,6.36196896,7809194,67322455.22
2020-10-27,6.36933235,6.49450998,6.33987879,6.45769303,15541476,135773398.18
2020-10-28,6.42087608,6.47241981,6.36196896,6.45769303,12053224,105070304.69
2020-10-29,6.28097167,6.28833506,6.19261099,6.26624489,17313182,146804715.72
2020-10-30,6.24415472,6.28097167,6.07479675,6.11897709,13794770,115946975.88
2020-11-02,6.10425031,6.27360828,6.05270658,6.22942794,14006645,117636163.2
2020-11-03,6.2588815,6.57550727,6.23679133,6.50923676,24925344,218303104.03
2020-11-04,6.53132693,6.57550727,6.45769303,6.53869032,16582810,146878737.41
2020-11-05,6.5534171,6.59023405,6.47241981,6.58287066,17215547,152994790.54
2020-11-06,6.70804829,6.75222863,6.56078049,6.59759744,30865250,278969173.97
2020-11-09,6.63441439,6.67859473,6.5534171,6.61232422,23342102,209570703.33
2020-11-10,6.26624489,6.42087608,6.26624489,6.39142252,23652498,203663629.37
2020-11-11,6.38405913,6.42087608,6.31042523,6.33987879,14024577,121179127.7
2020-11-12,6.29569845,6.35460557,6.24415472,6.29569845,10575551,90456018.54
2020-11-13,6.31042523,6.36933235,6.26624489,6.32515201,11230661,96338181.56
2020-11-16,6.35460557,6.59023405,6.34724218,6.50923676,23364991,205914141.31
2020-11-17,6.47241981,6.57550727,6.45032964,6.4797832,15910014,140682445.31
2020-11-18,6.46505642,6.59759744,6.46505642,6.56078049,17435614,155016917.64
2020-11-19,6.53132693,6.54605371,6.42823947,6.4797832,14558240,128061959.59
2020-11-20,6.47241981,6.68595812,6.45032964,6.66386795,24906189,222593883.45
2020-11-23,6.66386795,6.87740626,6.59759744,6.81113575,31926587,293389468.17
2020-11-24,6.64914117,6.65650456,6.52396354,6.60496083,28659941,256011387.02
2020-11-25,6.54605371,6.57550727,6.39878591,6.4061493,28958038,255184274.13
2020-11-26,6.41351269,6.44296625,6.30306184,6.39142252,19453005,168091207.72
2020-11-27,6.39142252,6.42823947,6.29569845,6.37669574,15399183,132805712.93
2020-11-30,6.28097167,6.37669574,6.24415472,6.33987879,21835295,187322303.41
2020-12-01,6.33987879,6.46505642,6.29569845,6.42823947,19356740,168032540.39
2020-12-02,6.48714659,6.53132693,6.42823947,6.45032964,20151133,177360629.58
2020-12-03,6.4797832,6.50187337,6.33987879,6.36933235,16782552,145463637.61
2020-12-04,6.36933235,6.41351269,6.32515201,6.39142252,11098350,96069173.4
2020-12-07,6.36933235,6.39142252,6.29569845,6.30306184,11824587,101742561.83
2020-12-08,6.36933235,6.42087608,6.3325154,6.36933235,14088390,122049656.74
2020-12-09,6.36933235,6.39142252,6.20733777,6.22206455,14591907,124685127.55
2020-12-10,6.1852476,6.1852476,6.08952353,6.11897709,13430042,111801661.16
2020-12-11,6.12634048,6.17788421,6.0379798,6.06743336,13142631,108808712.06
2020-12-14,6.06006997,6.12634048,5.98643607,6.1116137,9983960,82096368.29
2020-12-15,6.06743336,6.14843065,6.00852624,6.13370387,8968261,73933342.68
2020-12-16,6.12634048,6.19997438,6.08216014,6.14843065,8626634,72006529.6
2020-12-17,6.15579404,6.23679133,6.06006997,6.21470116,15826939,132560794.94
2020-12-18,6.2588815,6.30306184,6.21470116,6.23679133,15930533,135404189.98
2020-12-21,6.32515201,6.41351269,6.26624489,6.39142252,20120798,173745154.28
2020-12-22,6.25151811,6.39878591,6.14843065,6.16315743,20174167,172055798.46
2020-12-23,6.14843065,6.24415472,6.09688692,6.15579404,12842569,107389377.03
