date,open,high,low,close,volume,amount
2020-01-02,7.95563024,7.97400352,7.9005104,7.95563024,2101101,18162032.61
2020-01-03,7.96481688,7.97400352,7.84539056,7.88213712,1876521,16147042.19
2020-01-06,7.87295048,8.04749664,7.82701728,8.03831,3276447,28389768.83
2020-01-07,8.01075008,8.1761096,7.97400352,8.13936304,2700511,23827523.55
2020-01-08,8.06586992,8.13936304,7.9923768,8.04749664,1976620,17379373.86
2020-01-09,8.19448288,8.29553592,8.11180312,8.21285616,3647382,32665728.81
2020-01-10,8.14854968,8.41496224,8.09342984,8.4057756,3970681,35739224.22
2020-01-13,8.53438856,8.53438856,8.29553592,8.4057756,3921443,35783964.18
2020-01-14,8.4057756,8.55276184,8.29553592,8.43333552,3788684,34753096.75
2020-01-15,8.44252216,8.46089544,8.23122944,8.267976,2235700,20198948.0
2020-01-16,8.267976,8.3139092,8.23122944,8.25878936,1243728,11200729.37
2020-01-17,8.25878936,8.3139092,8.03831,8.1301764,3422007,30185966.95
2020-01-20,8.03831,8.21285616,8.02912336,8.1301764,1684385,14862646.9
2020-01-21,8.16692296,8.37821568,8.06586992,8.19448288,1936428,17274930.32
2020-01-22,8.18529624,8.2220428,7.9923768,8.18529624,1049717,9247290.26
2020-01-23,8.13936304,8.30472256,8.04749664,8.15773632,2099032,18602394.96
2020-02-03,7.34012536,8.1301764,7.34012536,7.65247112,9857933,83915347.17
2020-02-04,7.808644,7.87295048,7.18395248,7.78108408,10523966,84672692.93
2020-02-05,7.70759096,7.86376384,7.49629824,7.58816464,6205231,51811597.84
2020-02-06,7.55141808,7.58816464,7.41361848,7.4411784,6205188,50491446.24
2020-02-07,7.42280512,7.47792496,7.3952452,7.45036504,2673015,21627865.04
2020-02-10,7.4411784,7.60653792,7.37687192,7.58816464,3574301,29198105.2
2020-02-11,7.54223144,7.56060472,7.47792496,7.51467152,2139455,17504888.6
2020-02-12,7.51467152,7.56060472,7.47792496,7.55141808,1552509,12714918.62
2020-02-13,7.5330448,7.54223144,7.40443184,7.41361848,1844100,14980826.0
2020-02-14,7.42280512,7.45036504,7.37687192,7.40443184,1054800,8518112.0
2020-02-17,7.41361848,7.52385816,7.41361848,7.51467152,1757723,14307832.1
2020-02-18,7.52385816,7.5330448,7.45955168,7.51467152,2197179,17923864.64
2020-02-19,7.51467152,7.578978,7.47792496,7.51467152,2590576,21190414.89
2020-02-20,7.55141808,7.6249112,7.50548488,7.60653792,3777833,31150650.08
2020-02-21,7.59735128,7.64328448,7.54223144,7.58816464,3420533,28246901.82
2020-02-24,7.54223144,7.54223144,7.47792496,7.52385816,2088359,17083711.78
2020-02-25,7.42280512,7.578978,7.3952452,7.47792496,2273057,18488222.44
2020-02-26,7.42280512,7.5330448,7.42280512,7.51467152,2074220,16901137.2
2020-02-27,7.51467152,7.54223144,7.47792496,7.49629824,1272380,10393311.2
2020-02-28,7.35849864,7.46873832,7.28500552,7.28500552,2687420,21626826.6
2020-03-02,7.22069904,7.36768528,7.22069904,7.35849864,2904253,23083706.75
2020-03-03,7.37687192,7.41361848,7.3033788,7.34012536,2202440,17672307.8
2020-03-04,7.32175208,7.40443184,7.27581888,7.38605856,2235421,17845665.94
2020-03-05,7.42280512,7.47792496,7.37687192,7.46873832,2665987,21588093.62
2020-03-06,7.41361848,7.45955168,7.36768528,7.43199176,1840372,14856792.08
2020-03-09,7.37687192,7.41361848,7.2115124,7.22988568,2395261,19000744.66
2020-03-10,7.18395248,7.3033788,7.1655792,7.29419216,1910960,15074020.2
2020-03-11,7.3033788,7.38605856,7.26663224,7.32175208,2012842,16027135.35
2020-03-12,7.27581888,7.3033788,7.19313912,7.22988568,1340800,10563587.0
2020-03-13,7.00021968,7.1655792,6.9818464,7.119646,1721641,13242669.47
2020-03-16,7.13801928,7.19313912,6.9818464,6.9818464,1480435,11382293.9
2020-03-17,6.9818464,7.119646,6.78892696,6.9359132,1260900,9544216.0
2020-03-18,6.94509984,7.08289944,6.8440468,6.8440468,891660,6756581.0
2020-03-19,6.86242008,7.06452616,6.86242008,7.04615288,2848380,21665593.0
2020-03-20,7.05533952,7.13801928,6.95428648,7.05533952,1665690,12757307.89
2020-03-23,6.9359132,7.00021968,6.8440468,6.88998,1327787,10005998.63
2020-03-24,6.9359132,7.03696624,6.82567352,6.94509984,1185787,8914189.11
2020-03-25,6.99103304,7.15639256,6.92672656,7.06452616,1901987,14566536.59
