date,open,high,low,close,volume,amount
2020-01-02,10.83758025,11.066007,10.79697105,11.0152455,13476733,290157798.78
2020-01-03,11.08123545,11.39595675,10.964484,11.14214925,16498572,364253345.23
2020-01-06,10.6802196,11.0050932,10.67514345,10.9238748,13248910,283731028.3
2020-01-07,11.23351995,11.3198145,10.9035702,10.9441794,13329393,289485129.04
2020-01-08,10.80712335,10.9238748,10.6091535,10.62438195,13276631,280537304.62
2020-01-09,10.6700673,10.7512857,10.6294581,10.7411334,8977481,189138514.1
2020-01-10,10.8325041,10.8325041,10.64468655,10.66499115,6571225,138364620.28
2020-01-13,10.64468655,10.75636185,10.4771736,10.73605725,7901366,165914137.52
2020-01-14,10.80712335,10.9238748,10.7005242,10.7106765,9413209,200240297.82
2020-01-15,10.7106765,10.7106765,10.49240205,10.5076305,8608009,178889639.1
2020-01-16,10.5076305,11.066007,10.3045845,10.79697105,16135427,338217523.58
2020-01-17,10.7106765,10.75636185,10.46194515,10.48224975,8792160,183353093.66
2020-01-20,10.45179285,10.45179285,10.22844225,10.2842799,7559879,153337837.65
2020-01-21,10.26905145,10.26905145,9.98478705,10.0000155,7910569,157266272.49
2020-01-22,9.9898632,10.1319954,9.70052265,9.95433015,7869438,153417937.07
2020-01-23,9.8883402,10.05585315,9.5025528,9.61930425,8476562,162532006.28
2020-02-03,8.6599119,8.6599119,8.6599119,8.6599119,773500,13195910.0
2020-02-04,7.79189025,8.4162567,7.79189025,8.09645925,16208747,256099091.1
2020-02-05,8.12184,8.8731102,8.08630695,8.4974751,15923661,266350464.73
2020-02-06,8.629455,8.73605415,8.4467136,8.65483575,12576561,214277599.47
2020-02-07,8.60407425,8.72590185,8.51270355,8.68529265,10218489,173247034.52
2020-02-10,8.69544495,8.93910015,8.629455,8.82742485,10778777,186624937.28
2020-02-11,8.8020441,9.71067495,8.74620645,9.71067495,26162875,487475885.36
2020-02-12,9.51778125,9.89341635,9.31473525,9.56854275,26490332,497296901.51
2020-02-13,9.42641055,9.543162,9.14214615,9.17260305,16088910,294863184.8
2020-02-14,9.13707,9.16245075,9.0050901,9.04062315,8875547,158577931.2
2020-02-17,9.14214615,9.56854275,9.14214615,9.44671515,14489835,269280785.96
2020-02-18,9.4010298,9.61930425,9.39595365,9.61930425,15922240,299550950.51
2020-02-19,9.644685,9.7055988,9.3908775,9.4010298,11339921,212265707.91
2020-02-20,9.3502683,9.56854275,9.13707,9.5025528,12221210,226589157.2
2020-02-21,9.441639,9.6649896,9.3908775,9.5533143,14759190,277468178.74
2020-02-24,9.49747665,9.73097955,9.2995068,9.644685,16325793,306794070.76
2020-02-25,9.39595365,9.46701975,9.01016625,9.35534445,15658057,286417271.08
2020-02-26,9.2893545,9.644685,9.19290765,9.23351685,14702333,273149417.45
2020-02-27,9.23351685,9.340116,8.98986165,9.09138465,9303327,167769125.47
2020-02-28,8.730978,8.934024,8.30965755,8.426409,14050911,237958650.88
2020-03-02,8.55331275,9.1979838,8.5380843,9.1066131,13373926,235683425.0
2020-03-03,9.16245075,9.340116,8.9543286,9.0660039,12025702,216647232.46
2020-03-04,8.98986165,9.48732435,8.90864325,9.340116,17291796,315248597.97
2020-03-05,9.2182884,9.4619436,9.2182884,9.3299637,13148596,241142494.81
2020-03-06,9.1878315,9.6345327,9.14214615,9.50762895,20594086,383867113.94
2020-03-09,9.238593,9.45686745,8.8731102,8.934024,15946052,286251730.67
2020-03-10,8.629455,9.0660039,8.4873228,8.9644809,11180568,192666061.0
2020-03-11,8.934024,9.11168925,8.74620645,8.7918918,7770838,136741408.29
2020-03-12,8.6700642,8.69544495,8.4771705,8.51270355,8621339,145116517.83
2020-03-13,8.020317,8.28935295,7.8680325,8.223363,9422951,149871351.05
2020-03-16,8.42133285,8.42133285,7.72082415,7.77158565,8253097,130895436.76
2020-03-17,7.67006265,7.918794,7.31473215,7.6446819,7929973,118498426.67
2020-03-18,7.715748,7.7969664,7.46701665,7.47716895,6392400,96392905.3
2020-03-19,7.411179,7.50762585,7.18275225,7.4213313,7824269,113427724.46
2020-03-20,7.47716895,7.56853965,7.37564595,7.50762585,5081200,74822900.0
2020-03-23,7.3604175,7.3908744,6.95940165,7.005087,6629782,94017636.7
2020-03-24,7.1370669,7.5736158,7.11168615,7.34518905,9859395,142260292.87
2020-03-25,7.51777815,7.5431589,7.3502652,7.4517882,7390570,108123315.82
2020-03-26,7.43655975,7.50762585,7.33503675,7.3807221,5875282,85804437.46
2020-03-27,7.411179,7.47716895,7.2182853,7.2487422,5093830,73678346.42
2020-03-30,7.21320915,7.21320915,6.903564,7.0152393,6269124,86235660.96
2020-03-31,7.0964577,7.12183845,6.93909705,6.9644778,4177556,57790339.98
2020-04-01,6.9137163,7.07107695,6.90864015,6.94924935,4716800,65014229.88
2020-04-02,7.0863054,7.6446819,7.07107695,7.6446819,7151419,106469124.56
2020-04-03,8.0304693,8.4061044,7.72082415,7.87310865,26175388,414758300.21
2020-04-07,7.87310865,8.38072365,7.6954434,8.03554545,19652730,311773205.1
2020-04-08,7.9898601,8.2639722,7.8781848,8.0812308,15227138,242681797.15
2020-04-09,8.04569775,8.05585005,7.8680325,7.8984894,11831554,184878511.52
2020-04-10,7.8578802,7.8680325,7.45686435,7.5330066,9684820,145358955.7
2020-04-13,7.5228543,7.5228543,7.31473215,7.4010267,5633633,82141275.18
2020-04-14,7.4822451,7.7563572,7.4822451,7.7055957,8946520,134394642.08
2020-04-15,7.6040727,7.7360526,7.4416359,7.5533112,7483479,112234373.47
2020-04-16,7.53808275,7.5533112,7.38579825,7.49747355,5317791,78379569.33
2020-04-17,7.56853965,7.614225,7.42640745,7.4619405,6526300,96556042.52
2020-04-20,7.4619405,7.5533112,7.36549365,7.50762585,4230640,62321538.0
2020-04-21,7.48732125,7.7055957,7.411179,7.48732125,6840711,101438613.87
2020-04-22,7.3908744,7.4517882,7.2791991,7.4517882,4840030,70211084.7
2020-04-23,7.4720928,7.51777815,7.3604175,7.36549365,4335060,63414696.2
2020-04-24,7.34518905,7.4010267,7.0558485,7.11168615,5668540,80090419.6
2020-04-27,7.08122925,7.1675238,7.005087,7.09138155,3286107,45913736.05
2020-04-28,7.10661,7.1472192,6.4467105,6.9137163,6107246,81965467.27
2020-04-29,6.82742175,6.9847824,6.802041,6.8121933,3673653,49787656.93
2020-04-30,6.87818325,7.0863054,6.8324979,7.0456962,5570177,76590736.05
2020-05-06,6.8731071,7.29442755,6.8731071,7.27412295,5943667,83877583.14
2020-05-07,7.3299606,7.33503675,7.1675238,7.20305685,4815186,68706305.68
2020-05-08,7.309656,7.3908744,7.208133,7.28427525,4902847,70365380.25
2020-05-11,7.3299606,7.54823505,7.2284376,7.411179,9901294,144153738.35
2020-05-12,7.3299606,7.37564595,7.1269146,7.24366605,6445169,91884955.47
2020-05-13,7.16244765,7.3502652,7.1167623,7.28427525,4675370,66835803.09
2020-05-14,7.2182853,7.3604175,7.17259995,7.22336145,4580241,65466618.3
