date,open,high,low,close,volume,amount
2020-01-02,7.76026428,8.26217192,7.73130807,8.26217192,9223456,76984887.0
2020-01-03,8.19460743,8.686863,8.1077388,8.686863,8737344,76454587.0
2020-01-06,8.7833837,9.54589723,8.50347367,9.15981443,12059990,113400552.0
2020-01-07,9.11155408,9.79685105,9.03433752,9.21772685,11815097,115269904.0
2020-01-08,9.23703099,9.69067828,9.14051029,9.65207,9847150,96654569.0
2020-01-09,9.80650312,10.36632318,9.59415758,9.67137414,14724728,151519726.0
2020-01-10,9.65207,9.65207,8.91851268,9.00538131,11134299,106064841.0
2020-01-13,8.686863,9.11155408,8.686863,9.00538131,7330545,68295299.0
2020-01-14,9.14051029,9.1694665,8.84129612,8.9764251,4494030,41630608.0
2020-01-15,8.92816475,9.0729458,8.7833837,8.89920854,2521359,23167543.0
2020-01-16,8.91851268,8.98607717,8.81233991,8.87025233,2377215,21964854.0
2020-01-17,8.84129612,8.94746889,8.74477542,8.81233991,3051666,27892445.0
2020-01-20,8.95712096,9.10190201,8.58069023,8.65790679,4888583,44201474.0
2020-01-21,8.82199198,8.87025233,8.21391157,8.35869262,11008409,96602711.0
2020-01-22,8.41660504,8.41660504,8.2042595,8.28147606,4069596,34976045.0
2020-01-23,8.25251985,8.36834469,7.721656,7.8181767,5895825,48516571.0
2020-02-03,7.17148801,7.67339565,7.03635903,7.29696492,6909639,52517512.0
2020-02-04,7.45139804,8.03052224,7.45139804,8.03052224,5883002,48001918.0
2020-02-05,8.3973009,8.83164405,8.16565122,8.41660504,16173607,142579435.0
2020-02-06,8.21391157,9.12120615,8.21391157,9.02468545,15062175,137917846.0
2020-02-07,8.86060026,9.02468545,8.41660504,8.60964644,11396905,102998587.0
2020-02-10,8.54208195,8.55173402,8.11739087,8.19460743,8151350,69523308.0
2020-02-11,8.18495536,8.18495536,7.87608912,8.0112181,5036846,41648584.0
2020-02-12,8.00156603,8.13669501,7.90504533,8.04017431,5825287,48329637.0
2020-02-13,8.00156603,8.14634708,7.67339565,8.00156603,9343819,76273791.0
2020-02-14,7.97260982,7.99191396,7.70235186,7.74096014,6147200,49786158.0
2020-02-17,7.721656,7.87608912,7.721656,7.85678498,4511622,36534279.0
2020-02-18,7.94365361,8.05947845,7.89539326,8.04017431,6437303,53181712.0
2020-02-19,8.0112181,8.0112181,7.80852463,7.82782877,4817829,39379362.0
2020-02-20,7.86643705,7.90504533,7.66374358,7.80852463,4284402,34474114.0
2020-02-21,7.80852463,7.90504533,7.73130807,7.90504533,4921356,40138626.0
2020-02-24,7.80852463,8.0112181,7.80852463,7.9146974,5821120,47790842.0
2020-02-25,7.76026428,8.54208195,7.70235186,8.41660504,17832496,151467273.0
2020-02-26,8.33938848,8.59999437,8.02087017,8.03052224,12784756,109610721.0
2020-02-27,8.02087017,8.09808673,7.79887256,7.82782877,5831552,47619064.0
2020-02-28,7.71200393,7.89539326,7.39348562,7.42244183,6923863,54703822.0
2020-03-02,7.46105011,7.65409151,7.46105011,7.61548323,3799762,29846042.0
2020-03-03,7.63478737,7.8181767,7.59617909,7.67339565,4392980,35013374.0
2020-03-04,7.60583116,7.68304772,7.51896253,7.55757081,4368812,34273545.0
2020-03-05,7.60583116,7.80852463,7.60583116,7.80852463,5239693,41899535.0
2020-03-06,7.73130807,7.96295775,7.70235186,7.75061221,5584001,45129160.0
2020-03-09,7.76026428,8.26217192,7.54791874,8.13669501,12303154,102050709.0
2020-03-10,7.95330568,8.1077388,7.63478737,8.03052224,8112056,66259305.0
2020-03-11,8.02087017,8.34904055,7.94365361,8.29112813,12816295,109195402.0
2020-03-12,8.25251985,8.57103816,8.0112181,8.06913052,12887150,110790869.0
2020-03-13,7.55757081,8.00156603,7.25835664,7.721656,9989549,78405674.0
2020-03-16,7.83748084,7.87608912,7.28731285,7.40313769,7706304,61036070.0
2020-03-17,7.28731285,7.46105011,6.756449,7.08461938,5716532,42116487.0
2020-03-18,7.22940043,7.37418148,7.07496731,7.09427145,4728501,35457436.0
2020-03-19,7.03635903,7.13287973,6.83366556,7.11357559,4101002,29742969.0
2020-03-20,7.09427145,7.51896253,7.09427145,7.49965839,5476224,41569951.0
2020-03-23,7.61548323,7.88574119,7.35487734,7.49000632,8550160,67701693.0
2020-03-24,7.42244183,7.67339565,7.29696492,7.50931046,5135702,39693139.0
2020-03-25,7.6251353,7.6251353,7.48035425,7.54791874,3933943,30762501.0
2020-03-26,7.49000632,7.84713291,7.38383355,7.70235186,6046920,48249199.0
2020-03-27,7.71200393,7.8181767,7.6251353,7.66374358,5242818,42038023.0
2020-03-30,7.66374358,7.66374358,7.42244183,7.51896253,2952139,23057830.0
2020-03-31,7.5286146,7.83748084,7.5286146,7.77956842,4306091,34359349.0
2020-04-01,7.76991635,7.82782877,7.66374358,7.69269979,3526401,28358787.0
2020-04-02,7.63478737,7.73130807,7.53826667,7.73130807,2668880,21179055.0
2020-04-03,7.73130807,7.9146974,7.60583116,7.6251353,3467415,27738533.0
2020-04-07,7.73130807,7.86643705,7.66374358,7.82782877,4498190,36398864.0
2020-04-08,7.83748084,7.84713291,7.73130807,7.8181767,3517329,28426947.0
2020-04-09,7.8181767,7.96295775,7.76026428,7.89539326,4049188,32972835.0
2020-04-10,7.9146974,7.9146974,7.67339565,7.70235186,3394556,27394016.0
2020-04-13,7.65409151,8.04982638,7.58652702,7.9146974,4134372,33704220.0
2020-04-14,7.85678498,8.05947845,7.85678498,7.99191396,3612997,29819779.0
2020-04-15,7.97260982,8.3007802,7.95330568,8.00156603,5794872,48660109.0
2020-04-16,8.04982638,8.13669501,7.9146974,7.94365361,3420133,28361439.0
2020-04-17,7.90504533,7.97260982,7.77956842,7.79887256,3303100,26885015.0
2020-04-20,7.80852463,7.92434947,7.79887256,7.87608912,2175077,17724704.0
2020-04-21,7.86643705,7.86643705,7.68304772,7.75061221,2759200,22142032.0
2020-04-22,7.65409151,7.79887256,7.54791874,7.77956842,2231211,17798710.0
2020-04-23,7.77956842,7.99191396,7.69269979,7.70235186,3688308,29933888.0
2020-04-24,7.70235186,7.75061221,7.32592113,7.37418148,4145790,32297287.0
2020-04-27,7.37418148,7.44174597,7.1425318,7.32592113,2088411,15831176.0
2020-04-28,7.31626906,7.37418148,6.95914247,7.15218387,2115400,15674360.0
